GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli,CLI.new LinkedHashMap() {...},0,17,0,0,0,4,0,1,0,1
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli,CLI,17,34,2,0,5,7,3,2,2,2
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands.metapath,MetapathCommand,0,13,0,0,0,5,0,3,0,3
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands.metapath,ListFunctionsSubcommand,24,180,2,12,3,37,3,12,1,7
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractValidateContentCommand,40,93,1,3,11,38,3,6,2,5
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,GenerateSchemaCommand,131,220,15,17,28,67,13,13,1,9
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractValidateContentCommand.AbstractValidationCommandExecutor,210,192,15,15,48,44,13,7,2,3
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,MetaschemaCommandSupport,3,13,0,0,1,7,1,1,1,1
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractConvertSubcommand,109,0,4,0,34,0,8,0,6,0
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,MetaschemaCommands,0,15,0,0,0,1,0,1,0,1
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractConvertSubcommand.AbstractConversionCommandExecutor,214,0,24,0,49,0,15,0,3,0
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateModuleCommand.ValidateModuleCommandExecutor,66,39,5,1,13,13,5,4,2,4
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateContentUsingModuleCommand.OscalCommandExecutor,34,157,5,7,5,37,5,9,0,8
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateModuleCommand,0,18,0,0,0,5,0,5,0,5
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateContentUsingModuleCommand,0,36,0,0,0,9,0,5,0,5
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.util,LoggingValidationHandler,210,135,21,11,46,34,21,10,3,9
