GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractFlagInstanceNodeItem,29,19,2,0,10,7,3,4,2,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureFlagContainerItem,2,11,0,0,1,3,1,3,1,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureOrhpanedDefinitionModelNodeItem,0,4,0,0,0,2,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DefaultNodeItemFactory,138,366,21,21,26,77,23,26,7,21
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyInstanceNodeItemImpl,30,0,0,0,8,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IAssemblyNodeItem,14,9,2,0,4,2,4,2,3,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractNodeItemFactory,116,188,19,17,20,41,17,20,3,16
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureRequiredDataItem,2,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDocumentBasedNodeItem,5,2,0,0,2,1,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionDataNodeItemImpl,0,24,0,0,0,6,0,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,CycledAssemblyInstanceNodeItemImpl,31,0,0,0,9,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDefinitionNodeItem,12,12,2,2,2,4,2,2,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureChildNodeItem,4,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IModuleNodeItem,44,4,4,0,12,1,9,1,7,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DocumentNodeItemImpl,59,0,0,0,15,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractGlobalDefinitionNodeItem,8,13,0,0,2,5,2,3,2,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionNodeItemImpl,5,13,0,0,1,3,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,RootAssemblyValuedNodeItemImpl,36,0,0,0,11,0,6,0,6,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,INodeItemFactory,0,27,0,0,0,5,0,5,0,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagInstanceNoValueNodeItemImpl,0,5,0,0,0,2,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFlagNodeItem,20,15,2,0,7,5,7,5,6,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractRecursionPreventingNodeItemVisitor,46,0,4,0,12,0,7,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagGlobalDefinitionNodeItemImpl,0,7,0,0,0,3,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldInstanceNoValueNodeItemImpl,2,18,0,0,1,4,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractInstanceNodeItem,0,22,0,0,0,8,0,5,0,5
