GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldValueTypeInfoImpl,13,83,2,6,1,18,2,6,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractInstanceTypeInfo,0,10,0,0,0,4,0,2,0,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,DefaultMetaschemaClassFactory,126,1237,11,51,20,241,10,36,0,15
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,INamedInstanceTypeInfo,0,18,0,2,0,4,0,2,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FlagInstanceTypeInfoImpl,20,183,4,16,2,37,3,11,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IPropertyTypeInfo,0,1,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFlagInstanceTypeInfo,6,0,0,0,1,0,1,0,1,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractModelInstanceTypeInfo,27,176,4,12,3,37,4,10,0,6
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractTypeInfo,0,57,1,3,0,14,1,5,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractGroupedNamedModelInstanceTypeInfo,42,78,1,3,9,21,1,5,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,GroupedAssemblyInstanceTypeInfo,0,20,0,0,0,5,0,3,0,3
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,TypeInfoUtils,11,68,1,7,1,13,1,4,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,GroupedFieldInstanceTypeInfo,20,0,0,0,5,0,3,0,3,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,INamedModelInstanceTypeInfo,0,5,0,0,0,2,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldInstanceTypeInfoImpl,0,110,0,10,0,23,0,9,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFieldValueTypeInfo,0,5,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AssemblyInstanceTypeInfoImpl,0,10,0,0,0,3,0,2,0,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ChoiceGroupTypeInfoImpl,31,184,9,13,2,39,8,8,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractNamedModelInstanceTypeInfo,26,535,5,25,4,92,5,17,0,7
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeInfo,6,0,0,0,2,0,2,0,2,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IMetaschemaClassFactory,0,3,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,DefaultTypeResolver,71,411,11,17,11,92,11,31,1,27
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeResolver,7,35,1,3,1,7,1,4,0,3
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractPropertyTypeInfo,12,130,3,3,0,30,3,5,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.metapath.function,Model,90,0,12,0,34,0,9,0,3,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.metapath.function,DatabindFunctionLibrary,6,0,0,0,3,0,1,0,1,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,IBindingContext.ISchemaValidationProvider,89,3,9,1,18,1,7,1,1,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,IBindingContext.IBindingMatcher,14,8,1,1,2,2,1,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,PostProcessingModuleLoaderStrategy,0,67,1,5,0,18,1,6,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,IBindingContext,107,2,4,0,26,1,7,1,5,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,RootAssemblyBindingMatcher,0,41,0,4,0,9,0,9,0,7
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,DefaultBindingContext,176,270,13,15,29,70,15,23,3,19
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind,SimpleModuleLoaderStrategy,0,101,2,8,0,27,2,8,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,DefinitionField,113,131,9,9,24,27,16,12,10,9
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,InstanceModelChoiceGroup.ChoiceGroupModelContainerSupport,25,69,3,1,5,21,6,4,4,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,ConstraintSupport,52,124,2,2,6,30,5,7,3,7
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,InstanceModelFieldScalar,65,167,5,5,12,40,6,20,2,19
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,InstanceModelGroupedAssembly,41,28,0,0,7,8,8,4,8,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,DefaultGroupAs,18,29,1,1,4,9,1,4,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,DefinitionField.FieldValue,11,59,0,2,3,14,3,8,3,7
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.impl,InstanceModelGroupedFieldComplex,112,0,10,0,24,0,19,0,14,0
